iter	Passed	Remaining
826	2427	26925
827	2430	26921
828	2433	26918
829	2436	26913
830	2439	26911
831	2441	26907
832	2444	26902
833	2447	26901
834	2450	26897
835	2453	26895
836	2456	26891
837	2459	26888
838	2462	26885
839	2465	26882
840	2468	26879
841	2471	26875
842	2473	26872
843	2476	26869
844	2479	26867
845	2482	26864
846	2485	26860
847	2488	26857
848	2491	26853
849	2494	26850
850	2497	26846
851	2499	26842
852	2502	26837
853	2505	26834
854	2508	26830
855	2511	26828
856	2514	26825
857	2517	26821
858	2520	26818
859	2523	26814
860	2526	26813
861	2528	26809
862	2531	26805
863	2534	26801
864	2537	26798
865	2540	26795
866	2543	26792
867	2546	26787
868	2548	26783
869	2551	26778
870	2554	26776
871	2557	26773
872	2560	26769
873	2563	26765
874	2566	26761
875	2569	26758
876	2572	26755
877	2574	26751
878	2577	26747
879	2580	26743
880	2583	26741
881	2586	26737
882	2589	26734
883	2592	26731
884	2595	26729
885	2598	26726
886	2601	26722
887	2603	26718
888	2606	26715
889	2609	26711
890	2612	26709
891	2615	26705
892	2618	26701
893	2621	26698
894	2624	26694
895	2626	26691
896	2629	26688
897	2632	26684
898	2635	26681
899	2638	26677
900	2641	26673
901	2644	26669
902	2646	26665
903	2649	26661
904	2652	26658
905	2655	26656
906	2658	26651
907	2661	26649
908	2664	26646
909	2667	26642
910	2670	26640
911	2673	26636
912	2675	26633
913	2678	26629
914	2681	26626
915	2684	26623
916	2687	26620
917	2690	26616
918	2693	26613
919	2696	26609
920	2699	26607
921	2701	26603
922	2704	26599
923	2707	26596
924	2710	26591
925	2713	26589
926	2716	26586
927	2719	26583
928	2722	26579
929	2725	26576
930	2728	26574
931	2730	26571
932	2733	26567
933	2736	26563
934	2739	26559
935	2742	26555
936	2745	26553
937	2748	26549
938	2750	26545
939	2753	26542
940	2756	26539
941	2759	26536
942	2762	26533
943	2765	26530
944	2768	26526
945	2771	26523
946	2774	26520
947	2777	26518
948	2780	26514
949	2782	26511
950	2785	26507
951	2788	26503
952	2791	26500
953	2794	26496
954	2797	26493
955	2800	26489
956	2802	26486
957	2805	26482
958	2808	26479
959	2811	26475
960	2814	26472
961	2817	26468
962	2820	26464
963	2823	26461
964	2825	26458
965	2828	26455
966	2831	26452
967	2834	26448
968	2837	26444
969	2840	26442
970	2843	26440
971	2846	26437
972	2849	26434
973	2852	26431
974	2855	26427
975	2858	26425
976	2860	26420
977	2863	26417
978	2866	26413
979	2869	26409
980	2872	26407
981	2875	26404
982	2878	26401
983	2881	26397
984	2883	26394
985	2886	26391
986	2889	26387
987	2892	26383
988	2895	26379
989	2898	26375
990	2901	26373
991	2904	26370
992	2906	26365
993	2909	26362
994	2912	26359
995	2915	26355
996	2918	26352
997	2921	26348
998	2923	26345
999	2926	26341
1000	2929	26338
1001	2932	26336
1002	2935	26333
1003	2938	26330
1004	2941	26327
1005	2944	26323
1006	2947	26319
1007	2950	26316
1008	2952	26312
1009	2955	26307
1010	2958	26304
1011	2961	26299
1012	2964	26297
1013	2967	26294
1014	2969	26290
1015	2972	26288
1016	2975	26284
1017	2978	26281
1018	2981	26278
1019	2984	26275
1020	2987	26272
1021	2990	26269
1022	2993	26266
1023	2996	26263
1024	2999	26264
1025	3002	26263
1026	3006	26264
1027	3009	26264
1028	3012	26264
1029	3015	26265
1030	3019	26266
1031	3022	26267
1032	3025	26266
1033	3029	26268
1034	3032	26268
1035	3036	26270
1036	3039	26270
1037	3042	26270
1038	3045	26269
1039	3049	26269
1040	3052	26269
1041	3055	26270
1042	3059	26271
1043	3062	26271
1044	3065	26271
1045	3069	26271
1046	3072	26271
1047	3075	26272
1048	3078	26272
1049	3082	26272
1050	3085	26273
1051	3089	26274
1052	3092	26274
1053	3095	26274
1054	3098	26273
1055	3102	26273
1056	3105	26273
1057	3108	26273
1058	3111	26273
1059	3115	26273
1060	3118	26273
1061	3121	26273
1062	3124	26271
1063	3127	26269
1064	3130	26265
1065	3133	26263
1066	3136	26261
1067	3139	26257
1068	3142	26254
1069	3145	26249
1070	3148	26246
1071	3150	26241
1072	3153	26238
1073	3156	26235
1074	3159	26231
1075	3162	26231
1076	3166	26230
1077	3169	26228
1078	3171	26224
1079	3174	26219
1080	3177	26215
1081	3180	26211
1082	3183	26207
1083	3185	26203
1084	3189	26203
1085	3192	26203
1086	3195	26203
1087	3198	26202
1088	3202	26203
1089	3205	26202
1090	3208	26203
1091	3212	26202
1092	3215	26203
1093	3218	26199
1094	3221	26195
1095	3223	26191
1096	3226	26186
1097	3229	26183
1098	3232	26180
1099	3235	26176
1100	3238	26171
1101	3240	26166
1102	3243	26162
1103	3246	26158
1104	3249	26154
1105	3251	26151
1106	3254	26146
1107	3257	26143
1108	3260	26139
1109	3263	26136
1110	3266	26132
1111	3269	26129
1112	3271	26125
1113	3274	26120
1114	3277	26116
1115	3280	26112
1116	3283	26108
1117	3285	26105
1118	3288	26101
1119	3291	26095
1120	3294	26092
1121	3297	26088
1122	3299	26085
1123	3302	26080
1124	3305	26075
1125	3308	26073
1126	3311	26073
1127	3315	26073
1128	3318	26073
1129	3321	26073
1130	3325	26074
1131	3328	26074
1132	3331	26074
1133	3334	26071
1134	3337	26069
1135	3340	26065
1136	3343	26060
1137	3345	26056
1138	3348	26052
1139	3351	26047
1140	3354	26044
1141	3357	26040
1142	3359	26035
1143	3362	26031
1144	3365	26026
1145	3368	26022
1146	3370	26018
1147	3373	26013
1148	3376	26010
1149	3379	26006
1150	3382	26002
1151	3384	25998
1152	3387	25994
1153	3390	25990
1154	3393	25986
1155	3396	25983
1156	3398	25978
1157	3401	25975
1158	3404	25971
1159	3407	25966
1160	3410	25964
1161	3413	25959
1162	3415	25955
1163	3418	25953
1164	3421	25949
1165	3424	25945
1166	3427	25941
1167	3430	25937
1168	3432	25933
1169	3435	25927
1170	3438	25924
1171	3441	25920
1172	3443	25916
1173	3446	25911
1174	3449	25907
1175	3452	25903
1176	3454	25899
1177	3457	25894
1178	3460	25890
1179	3463	25886
1180	3466	25882
1181	3468	25878
1182	3471	25875
1183	3474	25871
1184	3477	25866
1185	3480	25864
1186	3483	25860
1187	3485	25855
1188	3488	25850
1189	3491	25846
1190	3493	25842
1191	3496	25838
1192	3499	25834
1193	3502	25829
1194	3504	25825
1195	3507	25821
1196	3510	25818
1197	3513	25815
1198	3516	25811
1199	3519	25806
1200	3521	25803
1201	3525	25801
1202	3528	25801
1203	3531	25800
1204	3534	25800
1205	3538	25800
1206	3541	25798
1207	3544	25798
1208	3547	25797
1209	3551	25796
1210	3554	25794
1211	3557	25793
1212	3560	25792
1213	3563	25791
1214	3566	25790
1215	3570	25789
1216	3573	25789
1217	3576	25787
1218	3579	25786
1219	3582	25785
1220	3586	25784
1221	3589	25782
1222	3592	25781
1223	3595	25780
1224	3598	25779
1225	3602	25778
1226	3605	25778
1227	3608	25778
1228	3611	25777
1229	3615	25777
1230	3618	25777
1231	3622	25778
1232	3625	25776
1233	3628	25776
1234	3631	25775
1235	3635	25775
1236	3638	25775
1237	3641	25774
1238	3644	25773
1239	3648	25772
1240	3651	25772
1241	3654	25771
1242	3657	25769
1243	3661	25768
1244	3664	25767
1245	3667	25767
1246	3670	25766
1247	3674	25765
1248	3677	25764
1249	3680	25763
1250	3683	25764
1251	3687	25761
1252	3689	25758
1253	3693	25757
1254	3696	25756
1255	3699	25755
1256	3702	25752
1257	3705	25751
1258	3708	25750
1259	3712	25748
1260	3715	25749
1261	3718	25748
1262	3722	25747
1263	3725	25746
1264	3728	25747
1265	3731	25744
1266	3734	25741
1267	3737	25741
1268	3741	25740
1269	3744	25739
1270	3747	25740
1271	3751	25739
1272	3754	25739
1273	3757	25738
1274	3760	25736
1275	3763	25734
1276	3767	25732
1277	3769	25728
1278	3772	25725
1279	3775	25722
1280	3778	25719
1281	3781	25715
1282	3784	25714
1283	3788	25713
1284	3791	25713
1285	3794	25711
1286	3797	25708
1287	3800	25705
1288	3803	25701
1289	3805	25697
1290	3808	25694
1291	3811	25690
1292	3814	25687
1293	3817	25683
1294	3820	25680
1295	3823	25676
1296	3826	25673
1297	3828	25669
1298	3831	25665
1299	3834	25661
1300	3837	25657
1301	3840	25654
1302	3843	25650
1303	3845	25647
1304	3848	25643
1305	3851	25640
1306	3854	25637
1307	3857	25633
1308	3860	25630
1309	3863	25626
1310	3866	25624
1311	3869	25621
1312	3872	25619
1313	3875	25615
1314	3877	25612
1315	3880	25608
1316	3883	25605
1317	3886	25602
1318	3889	25598
1319	3892	25595
1320	3895	25592
1321	3898	25588
1322	3901	25585
1323	3904	25582
1324	3906	25579
1325	3909	25576
1326	3912	25573
1327	3915	25570
1328	3918	25567
1329	3921	25563
1330	3924	25560
1331	3927	25556
1332	3930	25553
1333	3933	25550
1334	3936	25547
1335	3938	25544
1336	3941	25541
1337	3944	25538
1338	3947	25535
1339	3950	25532
1340	3953	25529
1341	3956	25525
1342	3959	25522
1343	3962	25519
1344	3965	25516
1345	3968	25513
1346	3971	25509
1347	3974	25506
1348	3976	25503
1349	3979	25500
1350	3982	25496
1351	3985	25492
1352	3988	25489
1353	3991	25485
1354	3994	25482
1355	3997	25479
